Utility Name,Plant Code,Plant Name,Street Address,City,Grid kV
Erie Boulevard Hydropower LP,2545,Bennetts Bridge,2628 County Road 22,Altmar,115
Erie Boulevard Hydropower LP,2566,Fulton Hydro,28 South 1st Street,Fulton,34.5
Erie Boulevard Hydropower LP,2569,Granby,16 Foster Street,Fulton,34.5
Oswego City of,2574,High Dam,571 West First St.,Oswego,34.5
Erie Boulevard Hydropower LP,2582,Lighthouse Hill,2365 County Route 22,Altmar,115
Erie Boulevard Hydropower LP,2586,Minetto,2796 State Route 48,Minetto,34.5
Exelon Nuclear,2589,Nine Mile Point Nuclear Station,PO Box 63,Lycoming,345
NRG Oswego Harbor Power Operations Inc,2594,Oswego Harbor Power,261 Washington Blvd.,Oswego,345
Erie Boulevard Hydropower LP,2595,Oswego Falls East,322 South 1st Street,Fulton,34.5
Erie Boulevard Hydropower LP,2596,Oswego Falls West,249 Riverside Avenue,Fulton,34.5
Erie Boulevard Hydropower LP,2621,Varick,411 West 1st Street,Oswego,34.5
Exelon Nuclear,6110,James A Fitzpatrick,Lake Road,Lycoming,345
Indeck-Oswego Ltd Partnership,50450,Indeck Oswego Energy Center,105 Mitchell St.,Oswego,115
Oswego County,50907,Oswego County Energy Recovery,2801 State Route 481,Fulton,34.5
Sithe/Independence LLC,54547,Sithe Independence Station,76 Independence Way,Oswego,345
Eagle Creek RE LLC,54865,Phoenix Hydro Project,9450 River St,Phoenix,2.4
Tesla Inc.,60462,Onondaga County- Clearwater,1633 Rathburn Road,Oswego,0.48
Tesla Inc.,60818,Oswego County - Fulton Solar,3125 NY-3,Fulton,0.48
Exelon Nuclear,6122,R E Ginna Nuclear Power Plant,Lake Rd.,Ontario,115
SSA Solar of NY LLC,59613,Town of Williamson Landfill PV,6742 Pound Road,Williamson,12
"Delaware River Solar, LLC",62504,Frey Rd #1 Community Solar Farm,2 Frey Rd,Macedon,12.47
"Delaware River Solar, LLC",62508,Furnace Rd Community Solar Farm,6686 Furnace Rd,Ontario,12.47
"Delaware River Solar, LLC",62521,Frey Rd #2 Community Solar Farm,2 Frey Rd,Macedon,12.47
Lakeside Syracuse LLC,10621,CH Resources Syracuse,300 Belle Island Road,Solvay,115
Zapco Energy Tactics Corp,50346,Onondaga Energy Partners LP,5199 S Moral Rd.,Camillus,13.2
Covanta Onondega LP,50662,Onondaga County Resource Recovery,5801 Rock Cut Road,Jamesville,115
Carr Street Generating Sta LP,50978,Carr Street Generating Station,64 Carr Street,East Syracuse,115
Tesla Inc.,60097,Onondaga County - Metro Water Board,4170 Route 31,Clay,0.48
Tesla Inc.,60098,Onondaga County - Oak Orchard WWTP,Oak Orchard Road,Clay,0.48
Tesla Inc.,60232,Onondaga County- Jamesville,6660 East Senece Turnpike,Jamesville,0.48
AES Distributed Energy,61575,Anheuser-Busch Baldwinsville,1299 Kingdom Road,Baldwinsville,13.2
Lockheed Martin RMS Syracuse,61739,Lockheed Martin RMS Syracuse,497 Electronics Pkwy,Liverpool,115
SunEast Clay Solar LLC,62819,SunEast Clay Solar Project,Route 31,Clay,115
